שם יישוב,שם יישוב,סמל,תעתיק,מחוז,נפה,אזור טבעי,מעמד מונציפאלי,שיוך מטרופוליני,דת יישוב,סך הכל אוכלוסייה 2013,יהודים ואחרים,יהודים,ערבים,שנת ייסוד,צורת יישוב שוטפת,השתייכות ארגונית,קואורדינטות,גובה ממוצע,ועדת תכנון,מרחב משטרה,תעתיק פרסומים,שנת עיבוד,שדה לקישור
בית שמש,בית שמש,2610,BET SHEMESH                                       ,1,11,112,0,444,1,94069,94.0,91.9,,1950                ,150,,1990362715,307,102,6140,Bet Shemesh,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=2610
בית שערים,בית שערים,248,BET SHE'ARIM                                      ,2,23,235,9,,1,741,0.7,0.7,,1936                ,310,1,2169973357,74,254,1440,Bet She'arim,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=248
בית שקמה,בית שקמה,747,BET SHIQMA                                        ,6,61,614,36,,1,781,0.8,0.8,,1950                ,310,1,1628461632,53,633,3840,Bet Shiqma,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=747
ביתן אהרן,ביתן אהרן,252,BITAN AHARON                                      ,4,41,411,16,141,1,379,0.4,0.4,,1936                ,310,10,1879969687,26,409,5120,Bitan Aharon,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=252
ביתר עילית,ביתר עילית,3780,BETAR ILLIT                                       ,7,76,,0,445,1,44927,44.9,44.9,,1985                ,160,,2109162265,703,716,4352,Betar Illit,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=3780
בלפוריה,בלפוריה,94,BALFURYA                                          ,2,23,234,9,,1,403,0.4,0.4,,1922                ,310,1,2280872620,87,254,1420,Balfurya,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=94
בן זכאי,בן זכאי,760,BEN ZAKKAY                                        ,4,44,441,29,143,1,1028,1.0,1.0,,1950                ,310,2,1744464050,30,456,5230,Ben Zakkay,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=760
בן עמי,בן עמי,712,BEN AMMI                                          ,2,24,245,4,,1,744,0.7,0.7,,1949                ,310,1,2119076783,28,201,1350,Ben Ammi,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=712
בן שמן (כפר נוער),בן שמן (כפר נוער),1084,BEN SHEMEN(K.NO'AR)                               ,4,43,432,25,142,1,563,0.6,0.5,,1921                ,340,,1932665185,69,424,5280,Ben Shemen(K.No'ar),2013,http://gis/Yeshuvim_allyears/start.aspx?stl=1084
בן שמן (מושב),בן שמן (מושב),2013,BEN SHEMEN (MOSHAV)                               ,4,43,432,25,142,1,830,0.8,0.8,,1952                ,310,1,1928365112,65,424,5280,Ben Shemen (Moshav),2013,http://gis/Yeshuvim_allyears/start.aspx?stl=2013
בני ברק,בני ברק,6100,BENE BERAQ                                        ,5,52,512,0,122,1,172485,172.4,170.8,,1924                ,140,,1845666599,26,501,2300,Bene Beraq,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=6100
בני דקלים,בני דקלים,1368,BNE DEQALIM                                       ,6,61,612,50,,1,222,0.2,0.2,,2009                ,370,11,1921860287,388,634,3820,Bne Dkalim,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=1368
בני דרום,בני דרום,592,BENE DAROM                                        ,4,44,441,29,143,1,582,0.6,0.6,,1949                ,320,2,1709163645,32,456,3870,Bene Darom,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=592
בני דרור,בני דרור,386,BENE DEROR                                        ,4,41,411,18,141,1,1209,1.2,1.2,,1946                ,320,1,1907168542,33,412,5120,Bene Deror,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=386
בני יהודה,בני יהודה,4015,BENE YEHUDA                                       ,2,29,294,71,,1,1031,1.0,1.0,,1972                ,370,13,2648874494,345,219,1270,Bene Yehuda,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=4015
בני נצרים,בני נצרים,1363,BNE NETSARIM                                      ,6,62,622,38,,1,444,0.4,0.4,,2010                ,310,11,1346156141,99,653,3430,Bne Netsarim,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=1363
בני עטרות,בני עטרות,448,BENE ATAROT                                       ,4,42,422,25,142,1,953,1.0,1.0,,1948                ,310,1,1920465902,52,424,5130,Bene Atarot,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=448
"בני עי""ש","בני עי""ש",1066,BENE AYISH                                        ,4,44,441,99,143,1,6932,6.9,5.6,,1958                ,180,,1774063310,75,453,3830,Bene Ayish,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=1066
בני ציון,בני ציון,418,BENE ZIYYON                                       ,4,41,411,19,141,1,1349,1.3,1.3,,1947                ,310,10,1878268067,35,401,5120,Bene Ziyyon,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=418
בני ראם,בני ראם,588,BENE RE'EM                                        ,4,44,441,31,143,1,1369,1.4,1.4,,1949                ,310,8,1803363100,64,456,5230,Bene Re'em,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=588
בניה,בניה,685,BENAYA                                            ,4,44,441,28,143,1,766,0.8,0.8,,1949                ,310,1,1767263907,35,456,5230,Benaya,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=685
בנימינה-גבעת עדה*,בנימינה-גבעת עדה*,9800,BINYAMINA-GIV'AT ADA                              ,3,32,324,99,,1,14267,14.2,13.9,,1903                ,170,,1967871417,36,353,1181,Binyamina-Giv'at Ada,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=9800
"בסמ""ה","בסמ""ה",1326,BASMA                                             ,3,32,323,99,,2,8487,,,8.5,,280,,2105471492,239,354,1450,Basma,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=1326
בסמת טבעון,בסמת טבעון,944,BASMAT TAB'UN                                     ,2,23,237,99,242,2,7195,,,7.2,,280,,2131573776,189,257,1160,Basmat Tab'un,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=944
בענה,בענה,483,BI'NE                                             ,2,24,242,99,,2,7664,,,7.7,,280,,2258575937,259,260,1310,Bi'ne,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=483
בצרה,בצרה,389,BAZRA                                             ,4,41,411,19,141,1,1102,1.1,1.1,,1946                ,310,10,1886968001,26,401,5120,Bazra,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=389
בצת,בצת,589,BEZET                                             ,2,24,245,4,,1,245,0.2,0.2,,1949                ,310,1,2129677511,29,201,1350,Bezet,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=589
בקוע,בקוע,864,BEQOA                                             ,1,11,112,26,,1,611,0.6,0.6,,1951                ,310,1,1930663736,150,151,7004,Beqoa,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=864
בקעות,בקעות,3612,BEQA'OT                                           ,7,75,,75,,1,172,0.2,0.2,,1972                ,310,10,2430468330,72,712,4164,Beqa'ot,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=3612
"בקעת נטופה מ""א 56",,1854,,2,24,241,56,,,,,,,,530,,2546075680,,,,,,http://gis/Yeshuvim_allyears/start.aspx?stl=1854
"בקעת תירען מ""א 3",,1884,,2,23,237,3,,,,,,,,530,,2334074370,,,,,,http://gis/Yeshuvim_allyears/start.aspx?stl=1884
בר-לב,,1728,,2,24,246,4,241,,,,,,,520,,2183675698,,201,1330,,,http://gis/Yeshuvim_allyears/start.aspx?stl=1728
בר גיורא,בר גיורא,823,BAR GIYYORA                                       ,1,11,111,26,444,1,624,0.6,0.6,,1950                ,310,9,2069462636,699,151,7004,Bar Giyyora,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=823
בר יוחאי,בר יוחאי,1191,BAR YOHAY                                         ,2,21,212,2,,1,821,0.8,0.8,,1979                ,370,2,2422976699,713,209,1230,Bar Yohay,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=1191
ברוכין,ברוכין,3744,BRUKHIN                                           ,7,73,,72,,1,602,0.6,0.6,,2012                ,370,2,2083266528,391,710,4164,Brukhin,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=3744
ברור חיל,ברור חיל,428,BEROR HAYIL                                       ,6,61,614,37,,1,833,0.8,0.8,,1948                ,330,15,1664960739,75,653,3840,Beror Hayil,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=428
ברוש,ברוש,2060,BEROSH                                            ,6,62,621,41,344,1,382,0.4,0.4,,1953                ,310,1,1650558666,129,625,3430,Berosh,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=2060
ברכה,ברכה,3710,BERAKHA                                           ,7,72,,72,,1,2047,2.0,1.7,,1983                ,190,11,2252167766,844,710,4164,Berakha,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=3710
ברכיה,ברכיה,746,BEREKHYA                                          ,6,61,614,36,,1,1186,1.2,1.2,,1950                ,310,1,1645461979,43,633,3830,Berekhya,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=746
ברעם,ברעם,667,BAR'AM                                            ,2,21,212,1,,1,566,0.6,0.5,,1949                ,330,15,2408677373,736,253,1230,Bar'am,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=667
ברק,ברק,141,BARAQ                                             ,2,23,234,8,,1,416,0.4,0.4,,1956                ,310,1,2251371651,72,204,1420,Baraq,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=141
ברקאי,ברקאי,617,BARQAY                                            ,3,32,324,14,,1,512,0.5,0.5,,1949                ,330,15,2029770901,65,351,1450,Barqay,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=617
ברקן,ברקן,3654,BARQAN                                            ,7,73,,72,145,1,1536,1.5,1.5,,1981                ,370,9,2104466805,432,710,4164,Barqan,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=3654
ברקת,ברקת,2038,BAREQET                                           ,4,42,422,25,142,1,1748,1.7,1.7,,1952                ,310,2,1948965814,82,424,5160,Bareqet,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=2038
בת הדר,בת הדר,1323,BAT HADAR                                         ,6,61,614,36,,1,645,0.6,0.6,,1995                ,350,,1618161736,58,633,3840,Bat Hadar,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=1323
בת חן,בת חן,1361,BAT HEN                                           ,4,41,411,16,141,1,425,0.4,0.4,,1967                ,350,,1881869630,34,409,5120,Bat Hen,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=1361
בת חפר,בת חפר,1319,BAT HEFER                                         ,4,41,412,16,141,1,5545,5.5,5.5,,1996                ,180,,2014969329,57,409,5150,Bat Hefer,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=1319
בת ים,בת ים,6200,BAT YAM                                           ,5,53,513,0,123,1,128871,128.3,107.3,,1926                ,140,,1765265859,23,502,2200,Bat Yam,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=6200
בת עין,בת עין,3794,BAT AYIN                                          ,7,76,,76,445,1,1186,1.2,1.2,,1989                ,370,11,2095961845,810,714,4352,Bat Ayin,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=3794
בת שלמה,בת שלמה,33,BAT SHELOMO                                       ,3,32,322,15,243,1,572,0.6,0.6,,1889                ,310,7,2005972291,92,303,1181,Bat Shelomo,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=33
בתי זיקוק - קישון,,1736,,3,31,311,,210,,,,,,,520,,2057074450,,,1160,,,http://gis/Yeshuvim_allyears/start.aspx?stl=1736
ג'דיידה-מכר,ג'דיידה-מכר,1292,JUDEIDE-MAKER                                     ,2,24,246,99,241,2,19552,,,19.5,,270,,2140875939,38,252,1330,Judeide-Maker,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=1292
ג'ולס,ג'ולס,485,JULIS                                             ,2,24,243,99,,2,5975,,,6.0,,280,,2175076079,110,252,1330,Julis,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=485
ג'לג'וליה,ג'לג'וליה,627,JALJULYE                                          ,4,42,421,99,142,2,9094,,,9.0,,280,,1957567326,37,451,5150,Jaljulye,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=627
ג'נאביב (שבט),,976,JUNNABIB,6,62,623,,,3,,,,,,460,,2030056900,,699,3481,,,http://gis/Yeshuvim_allyears/start.aspx?stl=976
ג'סר א-זרקא,ג'סר א-זרקא,541,JISR AZ-ZARQA                                     ,3,32,324,99,,2,13429,,,13.4,,270,,1919971586,11,353,1181,Jisr Az-Zarqa,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=541
ג'ש (גוש חלב),ג'ש (גוש חלב),487,JISH(GUSH HALAV)                                  ,2,21,212,99,,2,2992,,,3.0,,290,,2420276976,745,258,1230,Jish(Gush Halav),2013,http://gis/Yeshuvim_allyears/start.aspx?stl=487
ג'ת,ג'ת,628,JATT                                              ,3,32,324,99,,2,10709,,,10.7,,270,,2036670061,57,354,1450,Jatt                                              ,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=628
גאולי תימן,גאולי תימן,872,GE'ULE TEMAN                                      ,4,41,411,16,141,1,368,0.3,0.3,,1947                ,310,2,1909769986,14,409,5120,Ge'ule Teman,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=872
גאולים,גאולים,379,GE'ULIM                                           ,4,41,411,18,141,1,907,0.9,0.9,,1945                ,310,1,1950268938,56,412,5120,Ge'ulim,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=379
"גאון הירדן מ""א 3",,1963,,2,22,222,3,,,,,,,,530,,,,,,,,http://gis/Yeshuvim_allyears/start.aspx?stl=1963
גאליה,גאליה,853,GE'ALYA                                           ,4,44,442,27,143,1,1000,1.0,1.0,,1948                ,310,1,1779264365,22,456,5230,Ge'alya,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=853
גבולות,גבולות,352,GEVULOT                                           ,6,62,622,38,,1,273,0.3,0.3,,1943                ,330,15,1490356905,131,653,3430,Gevulot,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=352
גבים,גבים,424,GEVIM                                             ,6,61,614,37,,1,402,0.4,0.4,,1947                ,330,15,1618560187,116,653,3840,Gevim,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=424
גבע,גבע,86,GEVA                                              ,2,23,232,8,,1,631,0.6,0.6,,1921                ,330,15,2351971912,13,204,1420,Geva,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=86
גבע בנימין,גבע בנימין,3763,GEVA BINYAMIN                                     ,7,74,,73,445,1,4860,4.8,4.7,,1984                ,190,,2259863962,638,711,4354,Geva Binyamin,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=3763
גבע כרמל,גבע כרמל,683,GEVA  KARMEL                                      ,3,32,321,15,243,1,1102,1.1,1.1,,1949                ,310,1,1960272983,22,303,1181,Geva  Karmel,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=683
גבעולים,גבעולים,2014,GIV'OLIM                                          ,6,62,621,39,,1,307,0.3,0.3,,1952                ,310,2,1611658959,121,653,3482,Giv'olim,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=2014
גבעון החדשה,גבעון החדשה,3644,GIV'ON HAHADASHA                                  ,7,74,,73,445,1,1152,1.1,1.0,,1980                ,370,11,2150963947,795,711,6180,Giv'on HaHadasha,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=3644
גבעות בר,גבעות בר,1344,GEVA'OT BAR                                       ,6,62,623,41,341,1,569,0.6,0.6,,2004                ,370,19,1768358505,229,625,3485,Geva'ot Bar,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=1344
גבעת אבני,גבעת אבני,1293,GIV'AT AVNI                                       ,2,22,222,3,,1,2113,2.1,2.1,,1991                ,190,,2414274234,282,206,1240,Giv'at Avni,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=1293
גבעת אלה,גבעת אלה,1288,GIV'AT ELA                                        ,2,23,237,9,,1,1787,1.8,1.8,,1988                ,370,13,2232373635,262,254,1440,Giv'at Ela,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=1288
גבעת ברנר,גבעת ברנר,147,GIV'AT BRENNER                                    ,4,44,441,28,143,1,2581,2.6,2.5,,1928                ,193,,1813164156,59,456,5230,Giv'at Brenner,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=147
גבעת השלושה,גבעת השלושה,870,GIV'AT HASHELOSHA                                 ,4,42,422,20,142,1,768,0.8,0.8,,1925                ,330,15,1927366719,30,417,5130,Giv'at HaShelosha,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=870
גבעת זאב,גבעת זאב,3730,GIV'AT ZE'EV                                      ,7,74,,99,445,1,14349,14.3,14.2,,1983                ,170,,2160164047,731,705,6180,Giv'at Ze'ev,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=3730
"גבעת ח""ן","גבעת ח""ן",207,GIV'AT HEN                                        ,4,42,421,20,131,1,381,0.4,0.4,,1933                ,310,1,1883667500,61,417,5140,Giv'at Hen,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=207
גבעת חביבה,,1740,,3,32,324,14,,,,,,,,520,,2022770709,,351,1450,,,http://gis/Yeshuvim_allyears/start.aspx?stl=1740
גבעת חיים (איחוד),גבעת חיים (איחוד),2018,GIV'AT HAYYIM (IHUD)                              ,4,41,411,16,141,1,985,1.0,1.0,,1932                ,330,15,1938570064,22,409,5120,Giv'at Hayyim (Ihud),2013,http://gis/Yeshuvim_allyears/start.aspx?stl=2018
גבעת חיים (מאוחד),גבעת חיים (מאוחד),173,GIV'AT HAYYIM(ME'UHAD)                            ,4,41,411,16,141,1,958,1.0,0.9,,1932                ,330,15,1937069975,20,409,5120,Giv'at Hayyim(Me'uhad),2013,http://gis/Yeshuvim_allyears/start.aspx?stl=173
גבעת יואב,גבעת יואב,4021,GIV'AT YO'AV                                      ,2,29,294,71,,1,577,0.6,0.6,,1968                ,310,1,2641674503,312,219,1270,Giv'at Yo'av,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=4021
גבעת יערים,גבעת יערים,787,GIV'AT YE'ARIM                                    ,1,11,111,26,444,1,1376,1.4,1.4,,1950                ,310,1,2088063269,694,151,7004,Giv'at Ye'arim,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=787
גבעת ישעיהו,גבעת ישעיהו,919,GIV'AT YESHA'YAHU                                 ,1,11,112,26,444,1,762,0.8,0.8,,1958                ,310,6,1948961988,299,151,7004,Giv'at Yesha'yahu,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=919
"גבעת כ""ח","גבעת כ""ח",802,GIV'AT KOAH                                       ,4,42,422,25,142,1,808,0.8,0.8,,1950                ,310,1,1940865982,69,424,5160,Giv'at Koah,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=802
"גבעת ניל""י","גבעת ניל""י",360,GIV'AT NILI                                       ,3,32,323,45,,1,693,0.7,0.7,,1953                ,310,9,2041471707,136,351,1450,Giv'at Nili,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=360
גבעת עוז,גבעת עוז,703,GIV'AT OZ                                         ,2,23,234,13,,1,490,0.5,0.5,,1949                ,330,15,2189071785,113,254,1470,Giv'at Oz,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=703
גבעת שמואל,גבעת שמואל,681,GIV'AT SHEMU'EL                                   ,4,42,422,0,132,1,24084,24.1,23.8,,1942                ,160,,1860066489,48,427,2370,Giv'at Shemu'el,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=681
גבעת שמש,גבעת שמש,566,GIV'AT SHEMESH                                    ,1,11,112,26,444,,,,,,,510,,1955163138,256,151,7004,Giv'at Shemesh,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=566
גבעת שפירא,גבעת שפירא,1077,GIV'AT SHAPPIRA                                   ,4,41,411,16,141,1,382,0.4,0.4,,1958                ,310,10,1886069600,37,409,5120,Giv'at Shappira,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=1077
גבעתי,גבעתי,793,GIV'ATI                                           ,6,61,611,33,143,1,925,0.9,0.9,,1950                ,310,1,1698062683,37,616,3830,Giv'ati,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=793
גבעתיים,גבעתיים,6300,GIV'ATAYIM                                        ,5,52,512,0,122,1,56159,56.1,54.5,,1922                ,150,,1822066430,42,503,2314,Giv'atayim,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=6300
גברעם,גברעם,342,GEVAR'AM                                          ,6,61,614,36,,1,389,0.4,0.4,,1942                ,330,15,1632461117,87,633,3840,Gevar'am,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=342
גבת,גבת,133,GEVAT                                             ,2,23,234,9,,1,788,0.8,0.8,,1926                ,330,15,2202173114,93,254,1440,Gevat,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=133
גדות,גדות,35,GADOT                                             ,2,21,213,1,,1,383,0.4,0.3,,1949                ,330,15,2582276940,115,253,1220,Gadot,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=35
גדיש,גדיש,145,GADISH                                            ,2,23,234,8,,1,384,0.4,0.4,,1956                ,310,1,2232471829,66,204,1420,Gadish,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=145
גדעונה,גדעונה,442,GID'ONA                                           ,2,23,232,8,,1,345,0.3,0.3,,1949                ,350,,2339371720,-9,204,1420,Gid'ona,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=442
גדרה,גדרה,2550,GEDERA                                            ,4,44,441,99,143,1,25225,25.1,24.6,,1884                ,160,,1792763567,57,453,5230,Gedera,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=2550
"גולן דרומי מ""א 71",,1966,,2,29,294,71,,,,,,,,530,,2704074680,,,,,,http://gis/Yeshuvim_allyears/start.aspx?stl=1966
"גולן צפוני מ""א 71",,1962,,2,29,292,71,,,,,,,,530,,2709077860,,,,,,http://gis/Yeshuvim_allyears/start.aspx?stl=1962
"גולן תיכון מ""א 71",,1964,,2,29,293,71,,,,,,,,530,,2670076100,,,,,,http://gis/Yeshuvim_allyears/start.aspx?stl=1964
גונן,גונן,852,GONEN                                             ,2,21,211,1,,1,360,0.4,0.3,,1951                ,330,15,2607478109,90,253,1210,Gonen,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=852
גורן,גורן,755,GOREN                                             ,2,24,244,52,,1,434,0.4,0.4,,1950                ,310,1,2224377349,368,255,1350,Goren,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=755
גורנות הגליל,גורנות הגליל,1219,GORNOT HAGALIL                                    ,2,24,244,52,,1,156,0.2,0.1,,1980                ,350,,2236377386,394,255,1350,Gornot HaGalil,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=1219
גזית,גזית,457,GAZIT                                             ,2,23,233,9,,1,640,0.6,0.6,,1948                ,330,15,2422272714,129,254,1420,Gazit,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=457
גזר,גזר,370,GEZER                                             ,4,43,432,30,143,1,284,0.3,0.3,,1945                ,330,15,1925264268,122,426,5220,Gezer,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=370
גיאה,גיאה,706,GE'A                                              ,6,61,614,36,,1,910,0.9,0.9,,1949                ,310,1,1624261519,54,633,3840,Ge'a,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=706
גיבתון,גיבתון,196,GIBBETON                                          ,4,44,441,28,143,1,301,0.3,0.3,,1933                ,350,,1811964406,42,456,5230,Gibbeton,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=196
גיזו,גיזו,1043,GIZO                                              ,1,11,112,26,,1,185,0.2,0.2,,1968                ,350,,1943163471,196,151,7004,Gizo,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=1043
גילון,גילון,1204,GILON                                             ,2,24,242,56,241,1,1057,1.1,1.0,,1980                ,370,9,2224775646,302,205,1310,Gilon,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=1204
גילת,גילת,736,GILAT                                             ,6,62,622,42,344,1,1209,1.2,1.2,,1949                ,310,1,1668758193,136,653,3430,Gilat,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=736
גינוסר,גינוסר,262,GINNOSAR                                          ,2,22,221,6,,1,504,0.5,0.5,,1937                ,330,15,2493075035,-203,214,1240,Ginnosar,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=262
גיניגר,גיניגר,92,GINNEGAR                                          ,2,23,234,9,,1,607,0.6,0.6,,1922                ,330,15,2244572993,107,254,1440,Ginnegar,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=92
גינתון,גינתון,863,GINNATON                                          ,4,43,432,25,142,1,870,0.9,0.9,,1949                ,310,1,1919965224,57,424,5280,Ginnaton,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=863
גיתה,גיתה,1206,GITTA                                             ,2,24,243,52,,1,275,0.3,0.2,,1980                ,370,13,2236176356,430,255,1320,Gitta,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=1206
גיתית,גיתית,3613,GITTIT                                            ,7,75,,75,,1,324,0.3,0.3,,1973                ,310,9,2373766773,309,712,4164,Gittit,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=3613
גלאון,גלאון,393,GAL'ON                                            ,6,61,611,35,,1,344,0.3,0.3,,1946                ,330,15,1856261577,199,632,3820,Gal'on,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=393
גלגל,גלגל,3606,GILGAL                                            ,7,75,,75,,1,168,0.2,0.1,,1970                ,330,15,2425165628,-249,712,4164,Gilgal,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=3606
גליל ים,גליל ים,346,GELIL YAM                                         ,5,51,511,19,121,1,444,0.4,0.4,,1943                ,330,15,1842067381,44,401,2360,Gelil Yam,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=346
"גליל עליון מז מ""א 1",,1809,,2,21,212,1,,,,,,,,530,,2362077180,,,,,,http://gis/Yeshuvim_allyears/start.aspx?stl=1809
"גליל עליון מז מ""א 2",,1811,,2,21,212,2,,,,,,,,530,,2438076690,,,,,,http://gis/Yeshuvim_allyears/start.aspx?stl=1811
"גליל עליון מז מ""א 55",,1810,,2,21,212,55,,,,,,,,530,,2508077340,,,,,,http://gis/Yeshuvim_allyears/start.aspx?stl=1810
"גליל עליון מז של""ש",,1812,,2,21,212,,,,,,,,,530,,2385076890,,,,,,http://gis/Yeshuvim_allyears/start.aspx?stl=1812
"גליל תחתון מז מ""א 2",,1820,,2,22,222,2,,,,,,,,530,,2419075400,,,,,,http://gis/Yeshuvim_allyears/start.aspx?stl=1820
"גליל תחתון מז מ""א 3",,1819,,2,22,222,3,,,,,,,,530,,2426074060,,,,,,http://gis/Yeshuvim_allyears/start.aspx?stl=1819
"גליל תחתון מז מ""א 6",,1821,,2,22,222,6,,,,,,,,530,,2484072760,,,,,,http://gis/Yeshuvim_allyears/start.aspx?stl=1821
"גליל תחתון מז של""ש",,1822,,2,22,222,,,,,,,,,530,,2416075000,,,,,,http://gis/Yeshuvim_allyears/start.aspx?stl=1822
גלעד (אבן יצחק),גלעד (אבן יצחק),369,GAL'ED (EVEN YIZHAQ)                              ,2,23,236,13,,1,439,0.4,0.4,,1945                ,330,15,2074471810,185,254,1420,Gal'ed (Even Yizhaq),2013,http://gis/Yeshuvim_allyears/start.aspx?stl=369
"גמ""ל מחוז דרום",,1997,,6,62,623,,,,,,,,,530,,,,,,,,http://gis/Yeshuvim_allyears/start.aspx?stl=1997
גמזו,גמזו,745,GIMZO                                             ,4,43,431,25,142,1,1106,1.1,1.1,,1950                ,310,8,1945464834,105,424,5280,Gimzo,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=745
גן הדרום,גן הדרום,1072,GAN HADAROM                                       ,4,44,441,32,143,1,548,0.5,0.5,,1953                ,310,10,1717663474,39,456,3830,Gan HaDarom,2013,http://gis/Yeshuvim_allyears/start.aspx?stl=1072
